Filename	Group
20211018_Seroconversion_DBS_Plate1_DR1_centroid.mzML	Plate1
20211018_Seroconversion_DBS_Plate1_DR2_centroid.mzML	Plate1
20211018_Seroconversion_DBS_Plate1_DR3_centroid.mzML	Plate1
20211018_Seroconversion_DBS_Plate1_DR4_centroid.mzML	Plate1
20211018_Seroconversion_DBS_Plate1_DR5_centroid.mzML	Plate1
20211018_Seroconversion_DBS_Plate1_DR6_centroid.mzML	Plate1
20211018_Seroconversion_DBS_Plate2_DR1_centroid.mzML	Plate2
20211018_Seroconversion_DBS_Plate2_DR2_centroid.mzML	Plate2
20211018_Seroconversion_DBS_Plate2_DR3_centroid.mzML	Plate2
20211018_Seroconversion_DBS_Plate2_DR4_centroid.mzML	Plate2
20211018_Seroconversion_DBS_Plate2_DR5_centroid.mzML	Plate2
20211018_Seroconversion_DBS_Plate2_DR6_centroid.mzML	Plate2
20211018_Seroconversion_DBS_Plate3_DR1_centroid.mzML	Plate3
20211018_Seroconversion_DBS_Plate3_DR2_centroid.mzML	Plate3
20211018_Seroconversion_DBS_Plate3_DR3_centroid.mzML	Plate3
20211018_Seroconversion_DBS_Plate3_DR4_centroid.mzML	Plate3
20211018_Seroconversion_DBS_Plate3_DR5_centroid.mzML	Plate3
20211018_Seroconversion_DBS_Plate3_DR6_centroid.mzML	Plate3
20211018_Seroconversion_DBS_Plate4_DR1_centroid.mzML	Plate4
20211018_Seroconversion_DBS_Plate4_DR2_centroid.mzML	Plate4
20211018_Seroconversion_DBS_Plate4_DR3_centroid.mzML	Plate4
20211018_Seroconversion_DBS_Plate4_DR4_centroid.mzML	Plate4
20211018_Seroconversion_DBS_Plate4_DR5_centroid.mzML	Plate4
20211018_Seroconversion_DBS_Plate4_DR6_centroid.mzML	Plate4
20211018_Seroconversion_DBS_Plate5_DR1_centroid.mzML	Plate5
20211018_Seroconversion_DBS_Plate5_DR2_centroid.mzML	Plate5
20211018_Seroconversion_DBS_Plate5_DR3_centroid.mzML	Plate5
20211018_Seroconversion_DBS_Plate5_DR4_centroid.mzML	Plate5
20211018_Seroconversion_DBS_Plate5_DR5_centroid.mzML	Plate5
20211018_Seroconversion_DBS_Plate5_DR6_centroid.mzML	Plate5
20211018_Seroconversion_DBS_Plate6_DR1_centroid.mzML	Plate6
20211018_Seroconversion_DBS_Plate6_DR2_centroid.mzML	Plate6
20211018_Seroconversion_DBS_Plate6_DR3_centroid.mzML	Plate6
20211018_Seroconversion_DBS_Plate6_DR4_centroid.mzML	Plate6
20211018_Seroconversion_DBS_Plate6_DR5_centroid.mzML	Plate6
20211018_Seroconversion_DBS_Plate6_DR6_centroid.mzML	Plate6
20211018_Seroconversion_DBS_Plate7_DR2_centroid.mzML	Plate7
20211018_Seroconversion_DBS_Plate7_DR3_centroid.mzML	Plate7
20211018_Seroconversion_DBS_Plate7_DR4_centroid.mzML	Plate7
20211018_Seroconversion_DBS_Plate7_DR5_centroid.mzML	Plate7
20211018_Seroconversion_DBS_Plate7_DR6_centroid.mzML	Plate7
20211018_Seroconversion_DBS_Plate8_DR1_centroid.mzML	Plate8
20211018_Seroconversion_DBS_Plate8_DR2_centroid.mzML	Plate8
20211018_Seroconversion_DBS_Plate8_DR3_centroid.mzML	Plate8
20211018_Seroconversion_DBS_Plate8_DR4_centroid.mzML	Plate8
20211018_Seroconversion_DBS_Plate8_DR5_centroid.mzML	Plate8
20211018_Seroconversion_DBS_Plate8_DR6_centroid.mzML	Plate8
