Protein	20211018_Seroconversion_DBS_Plate1_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR6_centroid.mzML
A0A075B6H7																															659139.3125		764089.5	635257.25		805769.25											
A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624	15687828.0	15717993.0	15683819.0	14253300.0	15330266.0	15313594.0	18941482.0	16515330.0	17377226.0	17680386.0	16518554.0	17073856.0	16928016.0	15640398.0	16387623.0	15780071.0	15872106.0	15408757.0	15656701.0	15626204.0	16186157.0	15498837.0	15826113.0	15769114.0	13584694.0	13476405.0	12910275.0	13068722.0	12747833.0	12517539.0	14666486.0	14755006.0	13287803.0	14578031.0	12012233.0	15458772.0	13851316.0	12932198.0	14942538.0	12897553.0	13723086.0	15809734.0	14312489.0	14472648.0	15008473.0	14526855.0	13904055.0
A0A075B6H9		72144.92969	41029.42578	38049.50781						45108.21875						93554.28906							98257.32812														25179.59766	32138.14648	16595.64648	23056.30469	49472.42188		45528.85156				
A0A075B6I0	583974.5	589193.5625	582236.0	511429.8438	518190.5	565715.625	598105.0	576415.875	597288.3125	648383.5	567754.8125	594945.625	643795.25	559579.0	617604.6875	588441.875	583509.3125	570818.6875	632063.0	594595.625	504827.7812	545909.75	572376.0625	588967.75	401513.0	364281.1562	374241.9688	315961.5625	332965.8438	366638.0	436752.1875	432556.25	379714.8438	440368.3125	370539.7188	458734.9062	393470.5938	312992.2188	452533.5312	371620.0	409673.75	485668.375	392159.0625	330119.625	383479.4688	346825.75	428591.5312
A0A075B6I1																																					28323.933589999997										
A0A075B6I9;P04211	1605810.125	1533450.5	1588446.25	1360960.875	1452093.625	1483188.5	1688866.25	1566334.125	1727391.75	1661529.625	1582878.5	1588574.875	1560977.875	1505031.125	1488449.125	1514614.875	1545450.5	1382404.875	1544900.25	1571968.125	1558081.875	1410571.5	1656611.25	1537286.875	1181751.5	1261253.5	1382195.625	1204162.875	1251606.75	1267482.375	1380343.625	1334548.75	1094922.625	1321130.375	1205285.375	1444754.5	1176104.625	1164645.0	1254862.625	1223378.25	1250577.875	1341105.5	1064003.375	1179432.875	1236814.25	1182492.875	1156947.0
A0A075B6J9	189873.4688	151368.6562	133540.1562		164708.2969	159977.0156	184618.3906	122455.8594	182760.8594	189924.0781	148690.3438		189363.2344	101597.6016	190466.9688	179177.4375	205558.9688	113154.4844		202860.2969	134822.9375	171245.5			99505.0						74689.21875				126509.1328		160753.8125	146342.4375					168369.8281	171847.375		158395.7812	
A0A075B6K0																																					15527.73926										
A0A075B6K0;A0A075B6K4			92014.98438																																												
A0A075B6K0;P01717;P01718					97396.45312		59835.578120000006			107120.375	223372.6875		133346.125	132037.2031	232476.25	338464.4375	296744.0625	193438.2188			120858.6172										317864.2188	361467.0938	327641.4062	465881.4688	409377.3438	365161.6562	54160.28906	44212.35938	96067.95312	59201.60547		107819.7734	70148.24219				36994.41406
